Genus,Species/Occurence,Reference,Locality/Formation,Longitude,Latitude,Paleolongitude,Paleolatitude,Organ,Continent,Mya,Epoch,Age,Confidence,Notes
Palaeophytocrene,Palaeophytocrene ga,this study,Estancia Las Violetas (Argentina),-66.983,-45.067,,-50.52703,endocarp,SAM,61.6,Paleocene,Danian,high,one specimen
Palaeophytocrene,Palaeophytocrene hammenii,Stull et al 2012,Bogota Formation (Colombia),-73.8467,5.0146,,-0.19702,endocarp,SAM,59.2,Paleocene,mid-late Paleocene,high,baesd on single carbonized endocarp
Palaeophytocrene,Phytocrene sp,Stull et al 2012,Bogota Formation (Colombia),-72.08333,11.0167,,5.75823,endocarp,SAM,59.2,Paleocene,mid-late Paleocene,high,based on single fragmented carbonized endocarp impression
Palaeophytocrene,Palaeophytocrene piggae,Stull et al 2012,Sentinel Butte Formation (ND),-101.504833,46.9202,,48.26484,endocarp,NAM,56,Paleocene,late Paleocene,high,based on 10 endocarps; most are compressions/impressions; 3 are permineralized
Palaeophytocrene,Palaeophytocrene sp.,Crane et al. 1990,Sentinel Butte Formation (ND),-101.504833,46.9202,,48.26484,endocarp,NAM,56,Paleocene,late Paleocene,high,single specimen; other similar described by Brown (1962 p91pl67fig26
Palaeophytocrene,Palaeophytocrene foveolata,Chandler 1961,Herne Bay Kent (England),1.1278,51.3709,,47.72811,endocarp,EUR,47.8,Eocene,Ypresian,high,abraded locule-cast
Palaeophytocrene,Palaeophytocrene foveolata,Reid and Chandler 1933,London Clay (England),0.906,51.413,,47.75927,endocarp,EUR,47.8,Eocene,Ypresian,high,twenty-five specimens
Palaeophytocrene,Palaeophytocrene foveolata var. minima,Reid and Chandler 1933,London Clay (England),0.906,51.413,,47.75927,endocarp,EUR,47.8,Eocene,Ypresian,high,"six specimens; distinctly smaller than the 25 P. foveolata and have fewer larger pits plate XV, fig 33"
Palaeophytocrene,Palaeophytocrene ambigua,Reid and Chandler 1933,London Clay (England),0.906,51.413,,47.75927,endocarp,EUR,47.8,Eocene,Ypresian,high,one perfect locule cast
Stizocarya,Stizocarya communis,Reid and Chandler 1933,London Clay (England),0.906,51.413,,47.75927,endocarp,EUR,47.8,Eocene,Ypresian,high,180 specimens; very common; placed in a distinct genus within Phytocrene but nobody has done any work on them since (stull 2012); highly pyritized; hair-base associated with each pit
Stizocarya,Stizocarya oviformis,Reid and Chandler 1933,London Clay (England),0.906,51.413,,47.75927,endocarp,EUR,47.8,Eocene,Ypresian,high,one specimen peculiar broad form and small size; may simply be a distorted specimen of S. communis
Palaeophytocrene,Palaeophytocrene lacunosum,MacGinitie 1941 1969,Chalk Bluffs Buckeye Flat Independence Hill (CA),-120.8989,39.2092,,40.94767,endocarp,NAM,41.2,Eocene,late-early Eocene,high,one specimen
Palaeophytocrene,Palaeophytocrene foveolata,Chandler 1961,Bognor Aldwick Sussex (England),-0.6731,50.783,,46.36394,endocarp,EUR,41.2,Eocene,early-mid Eocene,high,single endocarp worn around edges
Palaeophytocrene,Palaeophytocrene foveolata,Chandler 1961,Bognor Aldwick Sussex (England),-0.6731,50.783,,46.36394,endocarp,EUR,41.2,Eocene,early-mid Eocene,high,imperfect locule-cast
Palaeophytocrene,Palaeophytocrene ambigua,Chandler 1961,Clapham West Sussex (England),-0.1386,51.4623,,47.06943,endocarp,EUR,41.2,Eocene,early-mid Eocene,high,one broken locule cast
