species,Reference,Organ,Epoch,Confidence,min.length,max.length,min.width,max.width,length,width
Manchesteria australis ,Rozefelds et al 2021,endocarp,Eocene,high,NA,NA,NA,NA,NA,NA
P chicoensis,Atkinson 2023,endocarp,Campanian,high,13.4,13.4,13.2,13.2,13.4,13.2
P ambigua,Chandler 1961,endocarp,Eocene,high,22,22,14,14,22,14
P cf. pseudopersica,Rankin et al 2008,endocarp,Eocene,high,9.7,9.9,7.5,11,9.8,9.25
P elytraeformis,Wolfe 1977,endocarp,Eocene,high,17.5,17.5,7.5,7.5,17.5,7.5
P foveolata,Chandler 1962,endocarp,Eocene,high,15,32,10,22,23.5,16
P foveolata var minima,Reid and Chandler 1933,endocarp,Eocene,high,16,16,13,13,16,13
P ga,this study,endocarp,Paleocene,high,9.1,9.1,6.4,6.4,9.1,6.4
P hammenii,Stull et al 2012,endocarp,Paleocene,high,5,5,3.25,3.25,5,3.25
P hancockii,Manchester 1994,endocarp,Eocene,high,38.5,85,26.9,50,61.75,38.45
P kressenbergensis,Tichy 1979,endocarp,Eocene,high,24,25,17,20,24.5,18.5
P lacunosum,MacGinitie 1941 1969,endocarp,Eocene,high,29,29,24,24,29,24
P manchesteri,Rankin et al 2008,endocarp,Eocene,high,7.2,7.2,5.3,5.3,7.2,5.3
P piggae,Stull et al 2012,endocarp,Paleocene,high,7,10,4,7,8.5,5.5
P pseudopersica,Manchester 1994,endocarp,Eocene,high,7.8,39,7,28.5,23.4,17.75
P vancouverensis,Rankin et al 2008,endocarp,Eocene,high,19.5,19.5,12.5,12.5,19.5,12.5
P echinatum,Stull et al 2016,endocarp,Eocene,high,11.5,11.5,7.5,7.5,11.5,7.5
P densipunctata,Stull et al 2011,endocarp,Eocene,high,60,60,32,32,60,32
P punctilinearis,Collinson et al 2012,endocarp,Eocene,high,19,48,12,30,33.5,21
Py austroamericana,Stull et al 2012,endocarp,Oligocene,high,19.95,20.05,11.5,11.5,20,11.5
Py simonsii,Stull et al 2020,endocarp,Oligocene,high,21,25,14,15.5,23,14.75
Py sp. 1,Collinson et al 2012,endocarp,Eocene,high,8.8,10.3,6.8,7.6,9.55,7.2
Py sp. 2,Collinson et al 2012,endocarp,Eocene,high,12,14.5,10,13,13.25,11.5
Py sp. 3,Collinson et al 2012,endocarp,Eocene,high,22.5,22.5,18,18,22.5,18
Py occidentalis,Manchester 1994,endocarp,Eocene,high,25,33,15.7,33,29,24.35
